"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C7,C9,C11,C13,C15","8","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C5,C6,C8,C10,C14,C19,C20,C21,C22,C23,C24,C25","13","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C12","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C16,C17","2","100uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1","1","D","","","","","~"
"D2","1","STATUS","","","","LED_SMD:LED_0805_2012Metric","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","~"
"J1","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Molex_47219-2001","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"J2","1","BACKSIDE_INTERFACE_1","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J4","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J6","1","DEBUG","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J7","1","BACKSIDE_INTERFACE_2","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J8","1","SJ3-35094BG","","","","SJ3_35094BG:SAMESKY_SJ3-35094BG",""
"L1","1","10uH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"LS1","1","AST-01508MR-R","","","","AST_01508MR_R:SPKR_AST-01508MR-R",""
"MK1","1","CMB-6544PF","","","","CMB_6544PF:MIC_CMB-6544PF",""
"Q1,Q2,Q3","3","MMBT2222A","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf"
"R1,R2,R3,R4,R5,R6,R7,R15,R37,R38,R39,R40","12","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8,R11,R17","3","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9,R10,R16","3","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12,R13,R14,R18","4","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1","1","SEND","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW2","1","END","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW3","1","PAGE","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW4","1","CLR","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW5","1","POUND","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW6","1","UP","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW7","1","DOWN","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW8","1","ASTERISK","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW9","1","ONE","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW10","1","TWO","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW11","1","THREE","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW12","1","FOUR","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW13","1","FIVE","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW14","1","SIX","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW15","1","SEVEN","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW16","1","EIGHT","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW17","1","NINE","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW18","1","ALPHA","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW19","1","BETA","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW20","1","ZERO","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW21","1","RESET","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U2","1","NHD-C0220BIZ","","","","Display:NHD-C0220BiZ","http://www.newhavendisplay.com/specs/NHD-C0220BiZ-FSW-FBW-3V3M.pdf"
"U3","1","ATSAMD21G18A-A","","","","Package_QFP:TQFP-48_7x7mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/SAM_D21_DA1_Family_Data%20Sheet_DS40001882E.pdf"
"U4","1","TLV320AIC3104IRHBT","","","","RHB32_3P45X3P45","https://www.ti.com/lit/gpn/tlv320aic3104"
"U5","1","SN74CB3Q3257PWR","","","","SN74CB3Q3257PWR:SOP65P640X120-16N",""
